myc_van_id,region_name,fo_name,team_name,turf_number
104337297,Region 05 - Waterloo,05A,05A,26
104337310,Region 04 - DSM,04F,04F,24
104337318,Region 08 - Davenport,08D,08D,49
104337322,Region 07 - Iowa City,07C,07C,41
104337327,Region 03 - Ames,03B,03B,14
104337330,Region 04 - DSM,04D,04D,22
104337340,Region 09 - Dubuque,09D,09D,55
104337347,Region 08 - Davenport,08D,08D,49
104337351,Region 09 - Dubuque,09D,09D,55
104337357,Region 08 - Davenport,08D,08D,49
104337375,Region 02 - Sioux City,02D,02D,10
104337380,Region 04 - DSM,04A,04A,19
104337385,Region 04 - DSM,04C,04C,21
104337389,Region 04 - DSM,04A,04A,19
104337392,Region 06 - Cedar Rapids,06F,06F,38
104337402,Region 06 - Cedar Rapids,06B,06B,34
104337423,Region 09 - Dubuque,09D,09D,55
104337441,Region 09 - Dubuque,09D,09D,55
104337442,Region 04 - DSM,04C,04C,21
104337443,Region 06 - Cedar Rapids,06F,06F,38
104337456,Region 04 - DSM,04F,04F,24
104337462,Region 01 - Council Bluffs,01A,01A,1
104337464,Region 07 - Iowa City,07B,07B,40
104337465,Region 08 - Davenport,08A,08A,46
104337481,Region 05 - Waterloo,05E,05E,30
104337482,Region 04 - DSM,04C,04C,21
104337485,Region 03 - Ames,03C,03C,15
104337490,Region 04 - DSM,04B,04B,20
104337494,Region 04 - DSM,04A,04A,19
104337500,Region 04 - DSM,04E,04E,23
104337501,Region 06 - Cedar Rapids,06E,06E,37
104337510,Region 06 - Cedar Rapids,06B,06B,34
104337513,Region 08 - Davenport,08D,08D,49
104337534,Region 08 - Davenport,08D,08D,49
104337538,Region 04 - DSM,04F,04F,24
104337542,Region 08 - Davenport,08A,08A,46
104337546,Region 07 - Iowa City,07G,07G,45
104337554,Region 02 - Sioux City,02D,02D,10
104337556,Region 04 - DSM,04D,04D,22
104337563,Region 04 - DSM,04C,04C,21
104337564,Region 08 - Davenport,08A,08A,46
104337576,Region 01 - Council Bluffs,01A,01A,1
104337591,Region 06 - Cedar Rapids,06B,06B,34
104337597,Region 06 - Cedar Rapids,06B,06B,34
104337601,Region 08 - Davenport,08D,08D,49
104337608,Region 07 - Iowa City,07G,07G,45
104337620,Region 09 - Dubuque,09D,09D,55
104337621,Region 07 - Iowa City,07G,07G,45
104337623,Region 04 - DSM,04B,04B,20
104337625,Region 05 - Waterloo,05A,05A,26
104337632,Region 04 - DSM,04G,04G,25
104337644,Region 03 - Ames,03C,03C,15
104337651,Region 07 - Iowa City,07C,07C,41
104337658,Region 06 - Cedar Rapids,06B,06B,34
104337659,Region 04 - DSM,04G,04G,25
104337664,Region 03 - Ames,03A,03A,13
104337671,Region 07 - Iowa City,07G,07G,45
104337680,Region 06 - Cedar Rapids,06E,06E,37
104337681,Region 01 - Council Bluffs,01A,01A,1
104337682,Region 02 - Sioux City,02A,02A,7
104337683,Region 05 - Waterloo,05B,05B,27
104337689,Region 04 - DSM,04C,04C,21
104337691,Region 08 - Davenport,08A,08A,46
104337697,Region 03 - Ames,03B,03B,14
104337705,Region 04 - DSM,04C,04C,21
104337712,Region 04 - DSM,04D,04D,22
104337715,Region 02 - Sioux City,02A,02A,7
104337716,Region 02 - Sioux City,02A,02A,7
104337717,Region 01 - Council Bluffs,01A,01A,1
104337718,Region 08 - Davenport,08D,08D,49
104337729,Region 01 - Council Bluffs,01A,01A,1
104337735,Region 04 - DSM,04G,04G,25
104337745,Region 06 - Cedar Rapids,06F,06F,38
104337758,Region 04 - DSM,04F,04F,24
104337763,Region 08 - Davenport,08D,08D,49
104337776,Region 04 - DSM,04B,04B,20
104337779,Region 02 - Sioux City,02A,02A,7
104337781,Region 06 - Cedar Rapids,06B,06B,34
104337787,Region 04 - DSM,04F,04F,24
104337794,Region 06 - Cedar Rapids,06E,06E,37
104337811,Region 03 - Ames,03A,03A,13
104337813,Region 07 - Iowa City,07A,07A,39
104337816,Region 04 - DSM,04C,04C,21
104337818,Region 05 - Waterloo,05E,05E,30
104337820,Region 08 - Davenport,08A,08A,46
104337828,Region 07 - Iowa City,07A,07A,39
104337830,Region 02 - Sioux City,02D,02D,10
104337835,Region 06 - Cedar Rapids,06B,06B,34
104337836,Region 02 - Sioux City,02A,02A,7
104337837,Region 04 - DSM,04C,04C,21
104337846,Region 06 - Cedar Rapids,06E,06E,37
104337854,Region 08 - Davenport,08D,08D,49
104337859,Region 04 - DSM,04G,04G,25
104337860,Region 06 - Cedar Rapids,06E,06E,37
104337889,Region 04 - DSM,04A,04A,19
104337893,Region 09 - Dubuque,09D,09D,55
104337895,Region 08 - Davenport,08D,08D,49
104337896,Region 03 - Ames,03C,03C,15
104337907,Region 03 - Ames,03B,03B,14
104337911,Region 05 - Waterloo,05A,05A,26
104337917,Region 04 - DSM,04E,04E,23
104337921,Region 05 - Waterloo,05A,05A,26
104337922,Region 09 - Dubuque,09D,09D,55
104337932,Region 06 - Cedar Rapids,06B,06B,34
104337935,Region 04 - DSM,04C,04C,21
104337937,Region 02 - Sioux City,02A,02A,7
104337942,Region 05 - Waterloo,05E,05E,30
104337943,Region 07 - Iowa City,07B,07B,40
104337945,Region 04 - DSM,04D,04D,22
104337949,Region 03 - Ames,03E,03E,17
104337960,Region 03 - Ames,03A,03A,13
104337961,Region 01 - Council Bluffs,01D,01D,4
104338005,Region 08 - Davenport,08A,08A,46
104338020,Region 03 - Ames,03B,03B,14
104338021,Region 04 - DSM,04C,04C,21
104338024,Region 05 - Waterloo,05E,05E,30
104338041,Region 04 - DSM,04G,04G,25
104338043,Region 03 - Ames,03B,03B,14
104338044,Region 05 - Waterloo,05A,05A,26
104338046,Region 09 - Dubuque,09A,09A,52
104338047,Region 04 - DSM,04G,04G,25
104338050,Region 06 - Cedar Rapids,06E,06E,37
104338061,Region 04 - DSM,04E,04E,23
104338064,Region 06 - Cedar Rapids,06B,06B,34
104338066,Region 03 - Ames,03A,03A,13
104338072,Region 04 - DSM,04F,04F,24
104338087,Region 08 - Davenport,08D,08D,49
104338088,Region 08 - Davenport,08D,08D,49
104338093,Region 04 - DSM,04E,04E,23
104338101,Region 06 - Cedar Rapids,06B,06B,34
104338111,Region 04 - DSM,04E,04E,23
104338118,Region 07 - Iowa City,07G,07G,45
104338119,Region 09 - Dubuque,09A,09A,52
104338125,Region 07 - Iowa City,07G,07G,45
104338133,Region 06 - Cedar Rapids,06F,06F,38
104338146,Region 08 - Davenport,08A,08A,46
104338158,Region 03 - Ames,03E,03E,17
104338181,Region 06 - Cedar Rapids,06E,06E,37
104338182,Region 01 - Council Bluffs,01D,01D,4
104338183,Region 06 - Cedar Rapids,06A,06A,33
104338196,Region 03 - Ames,03C,03C,15
104338207,Region 01 - Council Bluffs,01A,01A,1
104338208,Region 07 - Iowa City,07A,07A,39
104338212,Region 04 - DSM,04C,04C,21
104338216,Region 06 - Cedar Rapids,06E,06E,37
104338219,Region 08 - Davenport,08D,08D,49
104338221,Region 09 - Dubuque,09A,09A,52
104338236,Region 05 - Waterloo,05B,05B,27
104338239,Region 04 - DSM,04A,04A,19
104338241,Region 04 - DSM,04F,04F,24
104338245,Region 04 - DSM,04E,04E,23
104338249,Region 07 - Iowa City,07A,07A,39
104338250,Region 01 - Council Bluffs,01A,01A,1
104338251,Region 02 - Sioux City,02D,02D,10
104338264,Region 04 - DSM,04A,04A,19
104338268,Region 04 - DSM,04E,04E,23
104338272,Region 05 - Waterloo,05A,05A,26
104338284,Region 04 - DSM,04A,04A,19
104338292,Region 04 - DSM,04C,04C,21
104338309,Region 06 - Cedar Rapids,06F,06F,38
104338318,Region 07 - Iowa City,07G,07G,45
104338333,Region 06 - Cedar Rapids,06F,06F,38
104338339,Region 04 - DSM,04G,04G,25
104338341,Region 03 - Ames,03B,03B,14
104338343,Region 03 - Ames,03A,03A,13
104338356,Region 04 - DSM,04D,04D,22
104338359,Region 02 - Sioux City,02D,02D,10
104338364,Region 05 - Waterloo,05B,05B,27
104338369,Region 03 - Ames,03A,03A,13
104338373,Region 04 - DSM,04D,04D,22
104338375,Region 04 - DSM,04B,04B,20
104338382,Region 04 - DSM,04A,04A,19
104338391,Region 05 - Waterloo,05A,05A,26
104338394,Region 01 - Council Bluffs,01A,01A,1
104338406,Region 08 - Davenport,08D,08D,49
104338427,Region 04 - DSM,04D,04D,22
104338433,Region 04 - DSM,04C,04C,21
104338434,Region 03 - Ames,03A,03A,13
104338437,Region 02 - Sioux City,02D,02D,10
104338439,Region 05 - Waterloo,05E,05E,30
104338445,Region 02 - Sioux City,02D,02D,10
104338449,Region 05 - Waterloo,05E,05E,30
104338454,Region 04 - DSM,04A,04A,19
104338459,Region 07 - Iowa City,07A,07A,39
104338461,Region 02 - Sioux City,02D,02D,10
104338474,Region 02 - Sioux City,02D,02D,10
104338475,Region 09 - Dubuque,09A,09A,52
104338481,Region 02 - Sioux City,02D,02D,10
104338492,Region 07 - Iowa City,07C,07C,41
104338493,Region 03 - Ames,03C,03C,15
104338499,Region 06 - Cedar Rapids,06B,06B,34
104338505,Region 07 - Iowa City,07B,07B,40
104338520,Region 05 - Waterloo,05E,05E,30
104338524,Region 07 - Iowa City,07A,07A,39
104338534,Region 04 - DSM,04B,04B,20
104338538,Region 06 - Cedar Rapids,06B,06B,34
104338542,Region 04 - DSM,04F,04F,24
104338545,Region 08 - Davenport,08A,08A,46
104338549,Region 04 - DSM,04B,04B,20
104338550,Region 03 - Ames,03A,03A,13
104338559,Region 06 - Cedar Rapids,06F,06F,38
104338569,Region 09 - Dubuque,09D,09D,55
104338577,Region 07 - Iowa City,07C,07C,41
104338584,Region 07 - Iowa City,07C,07C,41
104338598,Region 07 - Iowa City,07A,07A,39
104338602,Region 03 - Ames,03A,03A,13
104338611,Region 07 - Iowa City,07B,07B,40
104338616,Region 07 - Iowa City,07A,07A,39
104338621,Region 04 - DSM,04E,04E,23
104338630,Region 08 - Davenport,08A,08A,46
104338636,Region 07 - Iowa City,07B,07B,40
104338638,Region 04 - DSM,04D,04D,22
104338639,Region 06 - Cedar Rapids,06B,06B,34
104338642,Region 05 - Waterloo,05E,05E,30
104338643,Region 08 - Davenport,08A,08A,46
104338665,Region 06 - Cedar Rapids,06B,06B,34
104338668,Region 04 - DSM,04G,04G,25
104338680,Region 09 - Dubuque,09D,09D,55
104338688,Region 01 - Council Bluffs,01A,01A,1
104338699,Region 01 - Council Bluffs,01D,01D,4
104338700,Region 06 - Cedar Rapids,06B,06B,34
104338727,Region 08 - Davenport,08D,08D,49
104338734,Region 02 - Sioux City,02A,02A,7
104338745,Region 03 - Ames,03A,03A,13
104338747,Region 04 - DSM,04B,04B,20
104338760,Region 09 - Dubuque,09A,09A,52
104338770,Region 03 - Ames,03B,03B,14
104338775,Region 06 - Cedar Rapids,06E,06E,37
104338778,Region 07 - Iowa City,07C,07C,41
104338784,Region 03 - Ames,03B,03B,14
104338789,Region 06 - Cedar Rapids,06E,06E,37
104338791,Region 07 - Iowa City,07G,07G,45
104338798,Region 08 - Davenport,08A,08A,46
104338820,Region 08 - Davenport,08D,08D,49
104338831,Region 06 - Cedar Rapids,06F,06F,38
104338841,Region 04 - DSM,04C,04C,21
104338866,Region 06 - Cedar Rapids,06E,06E,37
104338869,Region 02 - Sioux City,02D,02D,10
104338873,Region 03 - Ames,03A,03A,13
104338874,Region 04 - DSM,04A,04A,19
104338885,Region 05 - Waterloo,05A,05A,26
104338886,Region 01 - Council Bluffs,01A,01A,1
104338893,Region 01 - Council Bluffs,01A,01A,1
104338914,Region 04 - DSM,04E,04E,23
104338918,Region 05 - Waterloo,05A,05A,26
104338922,Region 04 - DSM,04E,04E,23
104338938,Region 06 - Cedar Rapids,06B,06B,34
104338939,Region 06 - Cedar Rapids,06B,06B,34
104338951,Region 02 - Sioux City,02A,02A,7
104338972,Region 04 - DSM,04G,04G,25
104338987,Region 09 - Dubuque,09D,09D,55
104338990,Region 04 - DSM,04G,04G,25
104339001,Region 01 - Council Bluffs,01A,01A,1
104339009,Region 09 - Dubuque,09A,09A,52
104339018,Region 03 - Ames,03B,03B,14
104339019,Region 04 - DSM,04C,04C,21
104339025,Region 03 - Ames,03C,03C,15
104339037,Region 03 - Ames,03A,03A,13
104339038,Region 04 - DSM,04B,04B,20
104339049,Region 07 - Iowa City,07G,07G,45
104339060,Region 05 - Waterloo,05D,05D,29
104339068,Region 08 - Davenport,08A,08A,46
104339073,Region 04 - DSM,04B,04B,20
104339075,Region 04 - DSM,04G,04G,25
104339118,Region 05 - Waterloo,05A,05A,26
104339122,Region 07 - Iowa City,07A,07A,39
104339134,Region 04 - DSM,04G,04G,25
104339141,Region 06 - Cedar Rapids,06F,06F,38
104339145,Region 04 - DSM,04G,04G,25
104339151,Region 06 - Cedar Rapids,06F,06F,38
104339152,Region 04 - DSM,04A,04A,19
104339155,Region 03 - Ames,03A,03A,13
104339167,Region 06 - Cedar Rapids,06A,06A,33
104339169,Region 04 - DSM,04D,04D,22
104339183,Region 03 - Ames,03C,03C,15
104339185,Region 06 - Cedar Rapids,06E,06E,37
104339199,Region 01 - Council Bluffs,01A,01A,1
104339210,Region 06 - Cedar Rapids,06B,06B,34
104339214,Region 06 - Cedar Rapids,06B,06B,34
104339216,Region 08 - Davenport,08A,08A,46
104339223,Region 04 - DSM,04G,04G,25
104339226,Region 09 - Dubuque,09A,09A,52
104339228,Region 04 - DSM,04A,04A,19
104339236,Region 08 - Davenport,08A,08A,46
104339237,Region 04 - DSM,04B,04B,20
104339246,Region 05 - Waterloo,05E,05E,30
104339252,Region 06 - Cedar Rapids,06E,06E,37
104339253,Region 03 - Ames,03A,03A,13
104339257,Region 03 - Ames,03B,03B,14
104339260,Region 06 - Cedar Rapids,06F,06F,38
104339270,Region 05 - Waterloo,05E,05E,30
104339282,Region 04 - DSM,04G,04G,25
104339290,Region 04 - DSM,04B,04B,20
104339292,Region 03 - Ames,03C,03C,15
104339300,Region 01 - Council Bluffs,01A,01A,1
104339303,Region 08 - Davenport,08A,08A,46
104339307,Region 08 - Davenport,08D,08D,49
104339324,Region 06 - Cedar Rapids,06B,06B,34
104339327,Region 04 - DSM,04C,04C,21
104339331,Region 02 - Sioux City,02A,02A,7
104339336,Region 05 - Waterloo,05A,05A,26
104339341,Region 04 - DSM,04A,04A,19
104339356,Region 09 - Dubuque,09D,09D,55
104339357,Region 03 - Ames,03B,03B,14
104339361,Region 08 - Davenport,08D,08D,49
104339364,Region 06 - Cedar Rapids,06B,06B,34
104339368,Region 04 - DSM,04F,04F,24
104339373,Region 03 - Ames,03E,03E,17
104339376,Region 04 - DSM,04D,04D,22
104339385,Region 08 - Davenport,08D,08D,49
104339388,Region 07 - Iowa City,07G,07G,45
104339422,Region 07 - Iowa City,07B,07B,40
104339428,Region 04 - DSM,04F,04F,24
104339437,Region 03 - Ames,03A,03A,13
104339449,Region 03 - Ames,03B,03B,14
104339458,Region 05 - Waterloo,05A,05A,26
104339463,Region 07 - Iowa City,07G,07G,45
104339465,Region 04 - DSM,04B,04B,20
104339468,Region 06 - Cedar Rapids,06A,06A,33
104339470,Region 06 - Cedar Rapids,06F,06F,38
104339473,Region 04 - DSM,04F,04F,24
104339474,Region 04 - DSM,04C,04C,21
104339475,Region 05 - Waterloo,05A,05A,26
104339478,Region 06 - Cedar Rapids,06E,06E,37
104339481,Region 06 - Cedar Rapids,06B,06B,34
104339500,Region 01 - Council Bluffs,01A,01A,1
104339503,Region 08 - Davenport,08A,08A,46
104339504,Region 03 - Ames,03A,03A,13
104339505,Region 08 - Davenport,08D,08D,49
104339512,Region 04 - DSM,04B,04B,20
104339514,Region 08 - Davenport,08A,08A,46
104339536,Region 04 - DSM,04F,04F,24
104339553,Region 04 - DSM,04C,04C,21
104339556,Region 06 - Cedar Rapids,06B,06B,34
104339569,Region 04 - DSM,04C,04C,21
104339574,Region 05 - Waterloo,05A,05A,26
104339585,Region 02 - Sioux City,02A,02A,7
104339595,Region 06 - Cedar Rapids,06A,06A,33
104339597,Region 05 - Waterloo,05A,05A,26
104339603,Region 09 - Dubuque,09A,09A,52
104339610,Region 03 - Ames,03C,03C,15
104339612,Region 04 - DSM,04A,04A,19
104339614,Region 03 - Ames,03C,03C,15
104339626,Region 06 - Cedar Rapids,06B,06B,34
104339627,Region 06 - Cedar Rapids,06E,06E,37
104339652,Region 02 - Sioux City,02A,02A,7
104339658,Region 04 - DSM,04C,04C,21
104339662,Region 03 - Ames,03A,03A,13
104339670,Region 09 - Dubuque,09D,09D,55
104339684,Region 04 - DSM,04F,04F,24
104339695,Region 04 - DSM,04F,04F,24
104339710,Region 07 - Iowa City,07B,07B,40
104339711,Region 04 - DSM,04G,04G,25
104339716,Region 04 - DSM,04G,04G,25
104339730,Region 05 - Waterloo,05A,05A,26
104339784,Region 04 - DSM,04D,04D,22
104339792,Region 06 - Cedar Rapids,06E,06E,37
104339793,Region 04 - DSM,04E,04E,23
104339795,Region 03 - Ames,03C,03C,15
104339804,Region 09 - Dubuque,09A,09A,52
104339814,Region 09 - Dubuque,09D,09D,55
104339833,Region 06 - Cedar Rapids,06A,06A,33
104339846,Region 04 - DSM,04D,04D,22
104339848,Region 04 - DSM,04C,04C,21
104339852,Region 02 - Sioux City,02A,02A,7
104339854,Region 07 - Iowa City,07C,07C,41
104339858,Region 03 - Ames,03C,03C,15
104339863,Region 06 - Cedar Rapids,06E,06E,37
104339866,Region 04 - DSM,04G,04G,25
104339868,Region 04 - DSM,04F,04F,24
104339878,Region 03 - Ames,03B,03B,14
104339890,Region 01 - Council Bluffs,01A,01A,1
104339900,Region 01 - Council Bluffs,01A,01A,1
104339918,Region 04 - DSM,04G,04G,25
104339920,Region 05 - Waterloo,05B,05B,27
104339921,Region 06 - Cedar Rapids,06E,06E,37
104339924,Region 08 - Davenport,08D,08D,49
104339933,Region 02 - Sioux City,02D,02D,10
104339941,Region 04 - DSM,04B,04B,20
104339948,Region 01 - Council Bluffs,01A,01A,1
104339957,Region 09 - Dubuque,09A,09A,52
104339995,Region 03 - Ames,03A,03A,13
104340002,Region 09 - Dubuque,09D,09D,55
104340014,Region 05 - Waterloo,05A,05A,26
104340015,Region 07 - Iowa City,07A,07A,39
104340016,Region 08 - Davenport,08D,08D,49
104340022,Region 07 - Iowa City,07G,07G,45
104340041,Region 07 - Iowa City,07A,07A,39
104340044,Region 04 - DSM,04D,04D,22
104340047,Region 09 - Dubuque,09D,09D,55
104340061,Region 02 - Sioux City,02D,02D,10
104340063,Region 06 - Cedar Rapids,06B,06B,34
104340067,Region 04 - DSM,04B,04B,20
104340069,Region 05 - Waterloo,05B,05B,27
104340074,Region 08 - Davenport,08E,08E,50
104340079,Region 09 - Dubuque,09D,09D,55
104340085,Region 02 - Sioux City,02D,02D,10
104340087,Region 01 - Council Bluffs,01A,01A,1
104340094,Region 04 - DSM,04D,04D,22
104340098,Region 04 - DSM,04E,04E,23
104340099,Region 03 - Ames,03C,03C,15
104340105,Region 06 - Cedar Rapids,06B,06B,34
104340106,Region 07 - Iowa City,07B,07B,40
104340114,Region 07 - Iowa City,07G,07G,45
104340116,Region 04 - DSM,04D,04D,22
104340117,Region 07 - Iowa City,07G,07G,45
104340120,Region 08 - Davenport,08A,08A,46
104340131,Region 04 - DSM,04C,04C,21
104340132,Region 03 - Ames,03A,03A,13
104340142,Region 04 - DSM,04C,04C,21
104340151,Region 06 - Cedar Rapids,06F,06F,38
104340152,Region 06 - Cedar Rapids,06A,06A,33
104340155,Region 07 - Iowa City,07G,07G,45
104340157,Region 03 - Ames,03A,03A,13
104340158,Region 08 - Davenport,08E,08E,50
104340166,Region 07 - Iowa City,07G,07G,45
104340183,Region 08 - Davenport,08D,08D,49
104340190,Region 05 - Waterloo,05B,05B,27
104340198,Region 06 - Cedar Rapids,06B,06B,34
104340207,Region 07 - Iowa City,07C,07C,41
104340211,Region 09 - Dubuque,09D,09D,55
104340218,Region 07 - Iowa City,07G,07G,45
104340220,Region 06 - Cedar Rapids,06E,06E,37
104340221,Region 04 - DSM,04B,04B,20
104340232,Region 08 - Davenport,08D,08D,49
104340233,Region 06 - Cedar Rapids,06B,06B,34
104340251,Region 08 - Davenport,08D,08D,49
104340256,Region 07 - Iowa City,07B,07B,40
104340268,Region 03 - Ames,03A,03A,13
104340269,Region 03 - Ames,03B,03B,14
104340273,Region 08 - Davenport,08A,08A,46
104340275,Region 08 - Davenport,08E,08E,50
104340296,Region 04 - DSM,04D,04D,22
104340297,Region 01 - Council Bluffs,01A,01A,1
104340301,Region 07 - Iowa City,07G,07G,45
104340304,Region 05 - Waterloo,05A,05A,26
104340312,Region 07 - Iowa City,07G,07G,45
104340316,Region 07 - Iowa City,07G,07G,45
104340317,Region 01 - Council Bluffs,01D,01D,4
104340318,Region 06 - Cedar Rapids,06B,06B,34
104340324,Region 03 - Ames,03B,03B,14
104340328,Region 04 - DSM,04A,04A,19
104340332,Region 01 - Council Bluffs,01A,01A,1
104340335,Region 08 - Davenport,08A,08A,46
104340341,Region 07 - Iowa City,07C,07C,41
104340351,Region 05 - Waterloo,05E,05E,30
104340353,Region 04 - DSM,04C,04C,21
104340359,Region 07 - Iowa City,07G,07G,45
104340361,Region 03 - Ames,03B,03B,14
104340366,Region 05 - Waterloo,05B,05B,27
104340372,Region 04 - DSM,04D,04D,22
104340376,Region 07 - Iowa City,07B,07B,40
104340380,Region 04 - DSM,04G,04G,25
104340381,Region 07 - Iowa City,07A,07A,39
104340387,Region 03 - Ames,03C,03C,15
104340404,Region 06 - Cedar Rapids,06E,06E,37
104340407,Region 03 - Ames,03A,03A,13
104340418,Region 04 - DSM,04E,04E,23
104340419,Region 04 - DSM,04E,04E,23
104340432,Region 05 - Waterloo,05B,05B,27
104340434,Region 08 - Davenport,08D,08D,49
104340440,Region 04 - DSM,04G,04G,25
104340444,Region 06 - Cedar Rapids,06F,06F,38
104340448,Region 07 - Iowa City,07B,07B,40
104340449,Region 04 - DSM,04G,04G,25
